判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
3703,5.06,1.51,12.96,3.09,-1,3703
1449,-7.07,-0.34,7.13,0.0,-1,1449
4540,9.1,2.45,25.19,3.22,0,4540
1617,8.87,1.08,13.25,4.33,-1,1617
2038,0.71,0.2,2.22,3.16,-1,2038
2514,9.03,1.97,32.1,1.6,0,2514
2910,4.15,0.55,65.7,1.89,0,2910
3432,5.34,1.18,34.76,1.7,0,3432
1522,7.37,1.56,21.12,3.69,0,1522
2613,2.6,0.64,11.68,2.14,-1,2613
1418,-60.82,-4.53,-113.93,0.0,-1,1418
2417,8.29,1.29,50.78,1.97,0,2417
2712,0.72,0.09,27.4,1.87,0,2712
1236,0.09,0.01,26.96,1.27,0,1236
2634,9.76,1.42,10.91,2.33,-1,2634
2704,2.34,0.63,32.86,1.8,0,2704
1410,7.1,1.18,37.42,2.86,0,1410
5258,2.78,0.15,27.1,1.2,0,5258
2329,2.23,0.35,7.67,1.29,-1,2329
3004,9.66,3.04,23.98,2.41,0,3004
3024,3.63,0.35,22.0,1.52,0,3024
2344,9.29,1.5,33.79,3.11,0,2344
2359,4.09,1.03,20.42,3.28,0,2359
2466,1.11,0.12,10.92,0.0,-1,2466
1217,2.25,0.27,31.77,0.62,0,1217
1795,7.58,2.59,46.1,0.35,0,1795
3308,-9.7,-0.87,4.96,0.99,-1,3308
3481,6.14,1.57,13.33,3.98,-1,3481
2062,2.65,0.89,12.86,1.11,-1,2062
2540,9.63,3.19,39.99,0.6,0,2540
3164,5.87,0.99,65.79,3.45,0,3164
3419,-0.73,-0.08,19.58,1.1,-1,3419
4133,2.86,0.57,45.38,1.14,0,4133
1725,7.25,1.32,4.71,4.01,-1,1725
1528,-0.13,-0.02,26.65,1.83,-1,1528
3055,-2.11,-0.56,17.86,2.05,-1,3055
6598,-47.61,-3.69,50.63,0.0,-1,6598
1516,6.87,0.8,3.94,1.6,-1,1516
1529,7.89,0.61,20.35,1.61,0,1529
3311,-3.42,-1.21,13.3,3.85,-1,3311
1473,-1.86,-0.33,12.8,1.71,-1,1473
1470,5.55,0.62,21.86,3.04,0,1470
2434,-31.59,-1.73,-28.21,0.0,-1,2434
4746,6.13,3.86,33.03,3.22,0,4746
