判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
1806,-1.45,-0.23,23.22,7.62,0,1806
4916,3.93,1.53,20.8,5.45,1,4916
1463,9.71,1.33,28.09,8.09,1,1463
3041,-9.71,-1.52,30.64,8.2,0,3041
1532,8.01,2.47,25.18,5.63,1,1532
2527,7.3,2.45,37.7,7.56,1,2527
1338,6.78,5.62,24.05,6.63,1,1338
1432,-16.24,-1.41,73.41,6.3,0,1432
4942,8.64,4.39,22.1,6.31,1,4942
1540,3.83,0.64,22.37,5.1,1,1540
2545,9.43,3.22,38.8,7.04,1,2545
1316,4.27,0.66,23.2,5.41,1,1316
3376,8.93,6.63,23.49,5.05,1,3376
4943,-10.08,-0.59,27.79,16.12,0,4943
9912,-4.54,-0.44,32.47,18.33,0,9912
8039,9.69,3.4,21.95,6.07,1,8039
8473,5.82,2.13,22.43,6.17,1,8473
4562,-1.65,-0.15,30.95,7.84,0,4562
2536,4.09,1.45,27.4,6.03,1,2536
4564,9.51,2.19,28.8,6.0,1,4564
2501,7.55,1.51,23.74,7.0,1,2501
3501,8.78,4.27,25.36,6.35,1,3501
6168,6.95,0.97,21.75,5.91,1,6168
1102,9.81,4.05,24.67,6.29,1,1102
2393,6.94,2.71,24.6,6.16,1,2393
2911,-5.97,-0.65,44.02,11.47,0,2911
5907,2.15,1.17,73.87,9.66,1,5907
2340,8.63,1.58,30.33,5.08,1,2340
