判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
3048,15.45,2.43,3.05,5.68,1,3048
8131,12.35,3.18,18.72,6.27,1,8131
2546,17.79,4.66,7.57,5.67,1,2546
8112,21.82,4.49,2.85,8.58,1,8112
2597,16.21,5.98,14.19,6.09,1,2597
4722,11.73,2.95,17.6,5.11,1,4722
6281,19.94,5.0,18.97,5.35,1,6281
8271,14.07,3.8,15.6,6.35,1,8271
3231,12.27,2.5,4.84,6.69,1,3231
1541,17.38,3.1,16.15,6.33,1,1541
5546,23.42,6.32,16.56,5.48,1,5546
2347,17.49,5.39,4.09,5.39,1,2347
1521,15.18,3.73,15.33,8.48,1,1521
2459,10.77,4.32,16.86,6.11,1,2459
8213,11.46,5.43,14.63,8.02,1,8213
2535,11.13,2.84,10.93,6.02,1,2535
2382,14.37,5.42,5.15,5.63,1,2382
2357,10.76,27.74,16.39,9.0,1,2357
1301,13.01,7.15,18.26,6.0,1,1301
6504,19.76,8.9,19.92,6.54,1,6504
6691,28.63,15.07,15.6,5.98,1,6691
1515,23.75,4.2,18.65,7.6,1,1515
2020,14.27,2.01,11.5,7.16,1,2020
2385,19.26,7.22,17.11,6.3,1,2385
2376,17.5,7.88,18.11,6.08,1,2376
3029,13.96,2.86,10.17,5.42,1,3029
2069,11.0,2.5,8.01,6.42,1,2069
6412,21.64,4.84,16.73,5.02,1,6412
2227,27.83,19.59,15.16,8.65,1,2227
3044,16.29,10.4,19.32,6.62,1,3044
1303,12.88,5.98,16.11,6.61,1,1303
2609,24.39,9.84,18.03,6.27,1,2609
3702,13.8,4.71,4.07,5.39,1,3702
3033,12.77,2.19,5.99,5.53,1,3033
2031,14.71,3.67,11.13,5.26,1,2031
6189,14.37,2.96,8.02,6.8,1,6189
6112,13.2,2.84,10.79,6.47,1,6112
2015,15.22,4.91,13.62,5.79,1,2015
1312,13.74,4.03,16.97,5.31,1,1312
2439,19.07,10.74,13.85,9.2,1,2439
9927,11.48,2.93,10.18,7.61,1,9927
3528,13.73,3.16,12.42,5.49,1,3528
3032,11.6,3.04,16.76,7.76,1,3032
6456,19.07,13.45,9.44,6.36,1,6456
