代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
4916,3.93,1.53,20.8,5.45,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1463,9.71,1.33,28.09,8.09,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1532,8.01,2.47,25.18,5.63,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2527,7.3,2.45,37.7,7.56,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1338,6.78,5.62,24.05,6.63,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4942,8.64,4.39,22.1,6.31,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1540,3.83,0.64,22.37,5.1,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2545,9.43,3.22,38.8,7.04,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1316,4.27,0.66,23.2,5.41,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3376,8.93,6.63,23.49,5.05,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8039,9.69,3.4,21.95,6.07,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8473,5.82,2.13,22.43,6.17,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2536,4.09,1.45,27.4,6.03,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4564,9.51,2.19,28.8,6.0,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2501,7.55,1.51,23.74,7.0,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3501,8.78,4.27,25.36,6.35,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
6168,6.95,0.97,21.75,5.91,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1102,9.81,4.05,24.67,6.29,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2393,6.94,2.71,24.6,6.16,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
5907,2.15,1.17,73.87,9.66,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2340,8.63,1.58,30.33,5.08,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3048,15.45,2.43,3.05,5.68,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
8131,12.35,3.18,18.72,6.27,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2546,17.79,4.66,7.57,5.67,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
8112,21.82,4.49,2.85,8.58,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2597,16.21,5.98,14.19,6.09,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
4722,11.73,2.95,17.6,5.11,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6281,19.94,5.0,18.97,5.35,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
8271,14.07,3.8,15.6,6.35,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3231,12.27,2.5,4.84,6.69,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1541,17.38,3.1,16.15,6.33,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
5546,23.42,6.32,16.56,5.48,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2347,17.49,5.39,4.09,5.39,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1521,15.18,3.73,15.33,8.48,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2459,10.77,4.32,16.86,6.11,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
8213,11.46,5.43,14.63,8.02,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2535,11.13,2.84,10.93,6.02,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2382,14.37,5.42,5.15,5.63,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2357,10.76,27.74,16.39,9.0,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1301,13.01,7.15,18.26,6.0,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6504,19.76,8.9,19.92,6.54,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6691,28.63,15.07,15.6,5.98,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1515,23.75,4.2,18.65,7.6,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2020,14.27,2.01,11.5,7.16,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2385,19.26,7.22,17.11,6.3,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2376,17.5,7.88,18.11,6.08,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3029,13.96,2.86,10.17,5.42,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2069,11.0,2.5,8.01,6.42,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6412,21.64,4.84,16.73,5.02,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2227,27.83,19.59,15.16,8.65,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3044,16.29,10.4,19.32,6.62,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1303,12.88,5.98,16.11,6.61,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2609,24.39,9.84,18.03,6.27,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3702,13.8,4.71,4.07,5.39,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3033,12.77,2.19,5.99,5.53,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2031,14.71,3.67,11.13,5.26,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6189,14.37,2.96,8.02,6.8,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6112,13.2,2.84,10.79,6.47,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2015,15.22,4.91,13.62,5.79,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
1312,13.74,4.03,16.97,5.31,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
2439,19.07,10.74,13.85,9.2,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
9927,11.48,2.93,10.18,7.61,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3528,13.73,3.16,12.42,5.49,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
3032,11.6,3.04,16.76,7.76,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
6456,19.07,13.45,9.44,6.36,1,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
