代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
3703,5.06,1.51,12.96,3.09,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1449,-7.07,-0.34,7.13,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1617,8.87,1.08,13.25,4.33,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2038,0.71,0.2,2.22,3.16,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2613,2.6,0.64,11.68,2.14,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1418,-60.82,-4.53,-113.93,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2634,9.76,1.42,10.91,2.33,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2329,2.23,0.35,7.67,1.29,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2466,1.11,0.12,10.92,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3308,-9.7,-0.87,4.96,0.99,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3481,6.14,1.57,13.33,3.98,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2062,2.65,0.89,12.86,1.11,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3419,-0.73,-0.08,19.58,1.1,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1725,7.25,1.32,4.71,4.01,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1528,-0.13,-0.02,26.65,1.83,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3055,-2.11,-0.56,17.86,2.05,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6598,-47.61,-3.69,50.63,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1516,6.87,0.8,3.94,1.6,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3311,-3.42,-1.21,13.3,3.85,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1473,-1.86,-0.33,12.8,1.71,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2434,-31.59,-1.73,-28.21,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1475,-14.64,-2.74,-16.81,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1324,1.63,0.22,15.98,2.56,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
