代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
1806,-1.45,-0.23,23.22,7.62,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4916,3.93,1.53,20.8,5.45,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1463,9.71,1.33,28.09,8.09,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3041,-9.71,-1.52,30.64,8.2,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1532,8.01,2.47,25.18,5.63,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2527,7.3,2.45,37.7,7.56,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1338,6.78,5.62,24.05,6.63,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1432,-16.24,-1.41,73.41,6.3,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4942,8.64,4.39,22.1,6.31,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1540,3.83,0.64,22.37,5.1,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2545,9.43,3.22,38.8,7.04,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1316,4.27,0.66,23.2,5.41,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3376,8.93,6.63,23.49,5.05,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4943,-10.08,-0.59,27.79,16.12,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
9912,-4.54,-0.44,32.47,18.33,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8039,9.69,3.4,21.95,6.07,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
8473,5.82,2.13,22.43,6.17,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4562,-1.65,-0.15,30.95,7.84,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2536,4.09,1.45,27.4,6.03,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
4564,9.51,2.19,28.8,6.0,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2501,7.55,1.51,23.74,7.0,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
3501,8.78,4.27,25.36,6.35,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
6168,6.95,0.97,21.75,5.91,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
1102,9.81,4.05,24.67,6.29,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2393,6.94,2.71,24.6,6.16,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2911,-5.97,-0.65,44.02,11.47,0,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
5907,2.15,1.17,73.87,9.66,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
2340,8.63,1.58,30.33,5.08,1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y >= 20.335"
