代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,答案
3530,晶相光,16.59,4.09,25.42,2.96,1
4989,榮科,14.63,2.07,13.88,5.57,1
4722,國精化,11.73,2.95,17.6,5.11,1
3406,玉晶光,16.98,18.52,41.07,1.55,1
4961,天鈺,18.68,8.67,25.47,3.86,1
3138,耀登,12.01,2.49,42.62,1.01,1
9942,茂順,15.49,5.53,34.21,4.38,1
2915,潤泰全,28.83,16.51,48.49,7.83,1
4919,新唐,15.23,3.67,39.43,2.03,1
4572,駐龍,11.07,4.43,41.66,3.26,1
3090,日電貿,20.5,4.67,19.47,7.78,1
2471,資通,10.11,1.62,38.65,5.34,1
2945,三商家購,15.59,2.64,24.63,3.85,1
5269,祥碩,33.72,25.93,49.46,1.91,1
2455,全新,18.85,2.92,39.49,4.12,1
6216,居易,10.86,1.92,49.86,6.23,1
2498,宏達電,-12.4,-5.66,16.53,26.23,1
2912,統一超,33.5,13.63,33.89,4.3,1
4190,佐登-KY,18.87,5.92,74.73,4.44,1
1305,華夏,16.66,2.7,19.82,6.72,1
6213,聯茂,22.38,7.06,17.42,6.56,1
3092,鴻碩,14.6,3.24,23.93,6.62,1
6257,矽格,13.89,3.9,28.85,5.42,1
2377,微星,24.44,9.81,14.88,5.18,1
2464,盟立,15.79,3.17,18.95,5.82,1
1476,儒鴻,24.1,15.41,28.06,2.32,1
2539,櫻花建,13.68,1.92,29.76,1.95,1
1256,鮮活果汁-KY,26.53,16.9,37.24,3.62,1
3702,大聯大,13.8,4.71,4.07,5.39,1
1702,南僑,15.7,4.03,33.25,5.07,1
2702,華園,18.21,3.22,77.36,1.29,1
1102,亞泥,9.81,4.05,24.67,6.29,1
3532,台勝科,11.96,4.96,27.69,2.22,1
6224,聚鼎,16.79,4.82,46.22,6.6,1
3033,威健,12.77,2.19,5.99,5.53,1
8039,台虹,9.69,3.4,21.95,6.07,1
6189,豐藝,14.37,2.96,8.02,6.8,1
8213,志超,11.46,5.43,14.63,8.02,1
3705,永信,10.85,2.62,45.26,4.93,1
4766,南寶,10.16,8.39,25.82,4.07,1
6592,和潤企業,14.49,5.11,63.98,3.16,1
2615,萬海,31.73,10.14,21.93,3.62,1
9940,信義,17.08,2.67,30.47,6.13,1
6112,邁達特,13.2,2.84,10.79,6.47,1
6168,宏齊,6.95,0.97,21.75,5.91,1
2376,技嘉,17.5,7.88,18.11,6.08,1
8210,勤誠,21.35,6.11,25.76,4.85,1
2851,中再保,11.59,2.44,12.88,5.63,1
9934,成霖,6.7,1.09,27.21,7.84,1
2397,友通,14.27,4.67,26.89,7.42,1
3231,緯創,12.27,2.5,4.84,6.69,1
3592,瑞鼎,24.34,20.67,27.89,6.28,1
6754,匯僑設計,13.78,3.61,23.16,5.12,1
6128,上福,10.24,2.43,37.56,5.4,1
2441,超豐,16.45,4.94,27.33,5.59,1
1590,亞德客-KY,20.7,21.36,49.0,1.02,1
2233,宇隆,14.97,7.08,35.72,3.74,1
8112,至上,21.82,4.49,2.85,8.58,1
2477,美隆電,14.55,2.75,21.4,6.41,1
4536,拓凱,14.47,8.16,30.88,2.92,1
5007,三星,14.77,3.16,22.8,4.94,1
1301,台塑,13.01,7.15,18.26,6.0,1
3653,健策,11.97,6.08,28.25,1.17,1
8499,鼎炫-KY,24.11,9.93,49.13,5.72,1
6756,威鋒電子,23.7,5.31,50.18,1.79,1
1526,日馳,16.22,2.82,25.68,2.47,1
2408,南亞科,17.74,8.06,40.15,6.69,1
1904,正隆,12.44,2.74,22.08,4.96,1
2707,晶華,33.93,10.4,31.2,4.36,1
3501,維熹,8.78,4.27,25.36,6.35,1
3665,貿聯-KY,16.11,13.46,23.75,2.69,1
4148,全宇生技-KY,10.05,3.0,26.79,2.34,1
1582,信錦,13.49,5.75,22.93,7.87,1
6582,申豐,28.1,12.43,36.78,11.64,1
2904,匯僑,11.82,1.68,41.99,7.2,1
6206,飛捷,15.15,4.94,32.33,5.62,1
6525,捷敏-KY,20.71,5.92,31.56,5.29,1
5222,全訊,19.77,3.06,50.71,1.18,1
2496,卓越,12.49,5.46,47.5,8.46,1
8466,美吉吉-KY,12.05,4.71,23.44,7.65,1
2474,可成,12.73,23.65,33.87,6.65,1
2308,台達電,14.87,8.62,28.26,1.94,1
3338,泰碩,11.82,2.08,20.95,3.58,1
2015,豐興,15.22,4.91,13.62,5.79,1
8163,達方,11.05,3.61,17.98,6.49,1
2547,日勝生,6.74,0.83,33.97,6.44,1
1612,宏泰,12.62,2.37,9.3,6.73,1
5306,桂盟,23.76,10.43,43.51,2.26,1
4581,光隆精密-KY,14.05,3.23,26.99,4.13,1
3443,創意,21.9,7.14,30.69,0.96,1
1604,聲寶,14.42,2.71,18.22,6.01,1
6197,佳必琪,9.4,2.32,22.62,6.5,1
9917,中保科,20.86,5.13,36.18,4.33,1
6412,群電,21.64,4.84,16.73,5.02,1
9939,宏全,11.22,5.04,20.14,4.05,1
2467,志聖,19.63,3.16,33.01,5.07,1
3645,達邁,11.14,2.29,32.73,3.29,1
1720,生達,11.69,2.62,44.32,3.67,1
3533,嘉澤,18.48,21.46,36.27,1.44,1
1101,台泥,11.0,3.69,26.64,5.87,1
2433,互盛電,12.49,3.9,30.21,7.38,1
1707,葡萄王,26.61,9.48,81.57,4.4,1
8104,錸寶,17.64,4.31,21.27,4.64,1
3006,晶豪科,18.33,5.8,21.41,4.15,1
3022,威強電,11.5,3.81,33.82,2.1,1
4551,智伸科,18.39,7.74,28.62,2.4,1
