代碼,股票,股價,ROE_5Y,EPS_5Y,毛利率5Y,現金殖利率,答案
3530,晶相光,76.9,16.59,4.09,25.42,2.96,1
4989,榮科,26.05,14.63,2.07,13.88,5.57,1
4722,國精化,34.4,11.73,2.95,17.6,5.11,1
3312,弘憶股,17.65,9.12,1.04,4.92,3.42,-1
3406,玉晶光,371.5,16.98,18.52,41.07,1.55,1
4961,天鈺,115.5,18.68,8.67,25.47,3.86,1
3149,正達,20.2,-7.51,-0.57,-0.35,3.27,-1
3138,耀登,145.0,12.01,2.49,42.62,1.01,1
2434,統懋,28.75,-31.59,-1.73,-28.21,0.0,-1
1709,和益,22.45,7.17,1.14,16.75,4.36,-1
1460,宏遠,7.24,-3.22,-0.26,16.04,4.94,-1
9942,茂順,102.5,15.49,5.53,34.21,4.38,1
2915,潤泰全,66.9,28.83,16.51,48.49,7.83,1
4919,新唐,120.0,15.23,3.67,39.43,2.03,1
2371,大同,34.35,-17.63,-0.47,12.53,0.0,-1
6225,天瀚,10.3,-159.53,-0.1,-67.76,0.0,-1
4572,駐龍,119.0,11.07,4.43,41.66,3.26,1
2038,海光,21.3,0.71,0.2,2.22,3.16,-1
3090,日電貿,51.3,20.5,4.67,19.47,7.78,1
2471,資通,27.25,10.11,1.62,38.65,5.34,1
2945,三商家購,44.6,15.59,2.64,24.63,3.85,1
5269,祥碩,701.0,33.72,25.93,49.46,1.91,1
2455,全新,70.8,18.85,2.92,39.49,4.12,1
6598,ABC-KY,31.5,-47.61,-3.69,50.63,0.0,-1
6216,居易,25.7,10.86,1.92,49.86,6.23,1
2498,宏達電,58.4,-12.4,-5.66,16.53,26.23,1
2912,統一超,268.5,33.5,13.63,33.89,4.3,1
4190,佐登-KY,79.9,18.87,5.92,74.73,4.44,1
6117,迎廣,14.2,-4.85,-0.5,16.15,2.69,-1
3504,揚明光,82.3,-1.04,-0.31,19.01,1.26,-1
2387,精元,40.85,7.13,2.65,13.33,3.79,-1
2328,廣宇,38.3,8.46,1.75,9.52,2.66,-1
8222,寶一,29.05,-0.81,-0.07,11.05,2.45,-1
1305,華夏,25.9,16.66,2.7,19.82,6.72,1
6213,聯茂,76.5,22.38,7.06,17.42,6.56,1
3092,鴻碩,36.6,14.6,3.24,23.93,6.62,1
6257,矽格,50.1,13.89,3.9,28.85,5.42,1
1455,集盛,10.4,2.9,0.38,4.09,3.88,-1
1528,恩德,10.35,-0.13,-0.02,26.65,1.83,-1
2390,云辰,13.8,6.63,1.06,17.01,2.46,-1
3013,晟銘電,19.85,3.89,0.48,8.94,2.14,-1
1456,怡華,16.15,8.39,1.28,19.49,1.81,-1
2377,微星,120.5,24.44,9.81,14.88,5.18,1
2443,昶虹,2.8,-32.98,-1.98,-9.78,0.0,-1
2464,盟立,39.05,15.79,3.17,18.95,5.82,1
1476,儒鴻,451.0,24.1,15.41,28.06,2.32,1
2539,櫻花建,32.1,13.68,1.92,29.76,1.95,1
1540,喬福,15.5,3.83,0.64,22.37,5.1,-1
1256,鮮活果汁-KY,282.5,26.53,16.9,37.24,3.62,1
3702,大聯大,47.35,13.8,4.71,4.07,5.39,1
9955,佳龍,20.95,-6.44,-1.1,0.55,3.75,-1
1702,南僑,44.9,15.7,4.03,33.25,5.07,1
6625,必應,35.5,-1.56,-0.28,12.81,1.51,-1
2702,華園,22.95,18.21,3.22,77.36,1.29,1
1102,亞泥,41.15,9.81,4.05,24.67,6.29,1
