代號,公司,股價
1101,台泥,33.7
1102,亞泥,41.15
1103,嘉泥,17.5
1104,環泥,22.75
1108,幸福,10.95
1109,信大,16.55
1110,東泥,17.8
1201,味全,19.25
1203,味王,34.85
1210,大成,44.55
1213,大飲,7.49
1215,卜蜂,77.7
1216,統一,65.4
1217,愛之味,10.4
1218,泰山,38.55
1219,福壽,19.2
1220,台榮,15.25
1225,福懋油,57.0
1227,佳格,39.6
1229,聯華,49.75
1231,聯華食,74.4
1232,大統益,144.5
1233,天仁,32.6
1234,黑松,32.9
1235,興泰,69.3
1236,宏亞,22.9
1240,茂生農經,43.75
1256,鮮活-KY,282.5
1258,其祥-KY,20.35
1259,安心,73.4
1264,德麥,257.0
1268,漢來美食,132.5
1301,台塑,86.3
1303,南亞,72.6
1304,台聚,21.4
1305,華夏,25.9
1307,三芳,21.15
1308,亞聚,27.95
1309,台達化,22.0
1310,台苯,13.65
1312,國喬,18.5
1313,聯成化,13.8
1314,中石化,10.0
1315,達新,71.2
1316,上曜,12.25
1319,東陽,47.35
1321,大洋,33.95
1323,永裕,33.0
1324,地球,10.4
1325,恆大,24.3
1326,台化,70.4
1336,台翰,26.0
1337,再生-KY,7.04
1338,廣華-KY,45.55
1339,昭輝,43.4
1340,勝悅-KY,10.05
1341,富林-KY,68.5
1342,八貫,129.0
1402,遠東新,32.65
1409,新纖,17.05
1410,南染,42.85
1413,宏洲,9.57
1414,東和紡,18.0
1416,廣豐,10.4
1417,嘉裕,13.8
1418,東華,14.1
1419,新光紡,40.85
1423,利華,19.85
1432,大魯閣,11.95
1434,福懋興,26.45
1436,福益,56.6
1437,勤益,25.8
1438,裕豐,31.7
1439,中和,21.8
1440,南紡,17.2
1441,大東,7.97
1442,名軒,36.9
1443,立益,21.05
1444,力麗,10.55
1445,大宇,16.0
1446,宏和,30.25
1447,力鵬,7.81
1449,佳和,15.95
1451,年興,21.3
1452,宏益纖,17.45
1453,大將,16.15
1454,台富,13.0
1455,集盛,10.4
1456,怡華,16.15
1457,宜進實,18.9
1459,聯發,8.48
1460,宏遠興,7.24
1463,強盛,14.35
1464,得力,14.3
1465,偉全,14.0
1466,聚隆,11.8
1467,南緯,12.2
1468,昶和纖,13.2
1470,大統新創,18.75
1471,首利,8.0
1472,三洋實業,22.2
1473,台南,21.1
1474,弘裕,11.95
1475,本盟,64.8
1476,儒鴻,451.0
1477,聚陽,238.5
1503,士電,59.7
1504,東元,27.85
1506,正道,17.55
1512,瑞利,3.65
1513,中興電,63.6
1514,亞力,30.15
1515,力山,32.5
1516,川飛,20.05
1517,利奇,20.95
1519,華城,48.45
1521,大億,35.15
1522,堤維西,28.2
1524,耿鼎,24.55
1525,江申,58.8
1526,日馳,44.0
1527,鑽全,41.7
1528,恩德,10.35
1529,樂士,18.2
1530,亞崴,30.9
1531,高林股,14.0
1532,勤美,29.6
1533,車王電,50.9
1535,中宇,42.6
1536,和大,76.2
1537,廣隆,135.5
1538,正峰新,6.2
1539,巨庭,30.4
1540,喬福,15.5
1541,錩泰,34.15
1558,伸興,120.0
1560,中砂,117.0
1565,精華,250.0
1568,倉佑,24.35
1569,濱川,23.1
1570,力肯,16.6
1580,新麥,87.4
1582,信錦,58.4
1583,程泰,61.5
1584,精剛,23.1
1586,和勤,33.8
1587,吉茂,21.85
1589,永冠-KY,57.1
1590,亞德客-KY,943.0
1591,駿吉-KY,17.05
1593,祺驊,72.5
1595,川寶,37.8
1597,直得,73.0
1598,岱宇,44.0
1599,宏佳騰,40.7
1603,華電,26.7
1604,聲寶,26.0
1605,華新麗華,47.3
1608,華榮,14.8
1609,大亞,20.5
1611,中電,13.9
1612,宏泰,16.8
1614,三洋電,35.8
1615,大山,28.9
1616,億泰,7.55
1617,榮星,15.0
1618,合機,14.55
1626,艾美特-KY,17.45
1701,中化,27.8
1702,南僑,44.9
1707,葡萄王,159.5
1708,東鹼,42.75
1709,和益,22.45
1710,東聯,18.9
1711,永光,19.55
1712,興農,37.2
1713,國化,24.85
1714,和桐,8.73
1717,長興,31.55
1718,中纖,8.71
1720,生達,61.9
1721,三晃,15.65
1722,台肥,54.2
1723,中碳,106.5
1725,元禎,20.85
1726,永記,70.7
1727,中華化,27.95
1730,花仙子,55.0
1731,美吾華,18.7
1732,毛寶,31.1
1733,五鼎,26.2
1734,杏輝,35.9
1735,日勝化,15.1
1736,喬山,78.0
1737,台鹽,32.0
1742,台蠟,15.05
1752,南光,53.9
1760,寶齡,170.0
1762,中化合成,65.1
1773,勝一,116.5
1776,展宇,16.75
1777,生泰,88.2
1781,合世,15.7
1783,和康生,47.05
1784,訊聯,44.1
1785,光洋科,32.9
1786,科妍,53.9
1788,杏昌,143.5
1789,神隆,27.15
1795,美時化,251.5
1796,金穎生技,58.5
1799,易威,16.1
1802,台玻,24.55
1805,寶徠,10.65
1806,冠軍,9.25
1808,潤隆,65.1
1809,中釉,13.05
1810,和成,19.3
1813,寶利徠,23.3
1815,富喬,12.1
1817,凱撒衛,36.35
1903,士紙,50.4
1904,正隆,27.8
1905,華紙,16.75
1906,寶隆,16.75
1907,永豐餘,25.15
1909,榮成,15.35
2002,中鋼,29.15
2006,東和鋼,52.2
2007,燁興,11.25
2008,高興昌,17.2
2009,第一銅,32.0
2010,春源,16.2
2012,春雨,23.2
2013,中鋼構,59.2
2014,中鴻,26.4
2015,豐興鋼,67.0
2017,官田鋼,13.75
2020,美亞鋼,23.75
2022,聚亨,8.78
2023,燁輝,15.8
2024,志聯,18.5
2025,千興,4.98
2027,大成鋼,43.6
2028,威致,28.1
2029,盛餘,24.1
2030,彰源,23.3
2031,新光鋼,41.7
2032,新鋼,19.8
2033,佳大,14.75
2034,允強,28.2
2035,唐榮,31.7
2038,海光,21.3
2049,上銀科,183.0
2059,川湖,403.5
2061,風青,26.6
2062,橋椿,22.5
2063,世鎧,39.55
2064,晉椿,17.35
2065,世豐,53.2
2066,世德,79.3
2067,嘉鋼,10.8
2069,運錩,20.55
2070,精湛,33.85
2101,南港,34.25
2102,泰豐,20.8
2103,台橡,27.85
2104,中橡,20.05
2105,正新,34.1
2106,建大,30.35
2107,厚生,21.8
2108,南帝,37.45
2109,華豐,14.7
2114,鑫永銓,98.6
2115,六暉-KY,29.6
2201,裕隆,65.0
2204,中華,55.2
2206,三陽,36.25
2207,和泰車,599.0
2208,台船,19.7
2211,長榮鋼,51.7
2221,大甲,37.95
2227,裕日車,196.0
2228,劍麟,79.5
2230,泰茂,28.05
2231,為升,149.0
2233,宇隆,101.0
2235,謚源,48.6
2236,百達-KY,25.4
2239,英利-KY,62.5
2241,艾姆勒,32.2
2243,宏旭-KY,12.5
2247,汎德永業,216.0
2250,第一化成IKKA-KY,74.7
2301,光寶科,63.4
2302,麗正,18.0
2303,聯電,43.8
2305,全友,27.3
2308,台達電,291.5
2312,金寶,14.2
2313,華通,47.75
2314,台揚,40.1
2316,楠梓電,26.15
2317,鴻海,101.0
