代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1101,台泥,11,3.69,26.64,6.88,12.94,12.54,13.1,9.54,19.24,26.96,29.25,32.87,24.9,43.99,42.64,43.27,43.82,48.91,10.5,18.17,20.73,24.48,19.81,2.34,33.65,8.38,6.95,1,1,1,1,1,0,5,1
1102,亞泥,9.81,4.05,24.67,4.65,9.77,13.54,11.07,10.01,15.67,25.57,28.65,29.82,23.62,40.99,43.03,43,42.82,43.14,10.27,17.99,24.9,23.99,19.55,2.77,39,27.37,7.1,0,1,1,1,1,1,5,1
1103,嘉泥,5.24,1.65,6.44,5.57,3.83,6.32,7.55,2.94,13.47,13.79,10.54,-6.98,1.39,31.98,34.6,38.85,38.45,35.62,46.64,36.76,74.77,89.29,33.67,0.91,16.7,17.15,5.45,0,1,0,1,1,1,4,0
1104,環泥,6.66,1.82,14.24,8.28,6.01,6.35,6.83,5.84,12.21,11.94,11.72,16.72,18.62,19.19,21.03,22.64,22.06,22.76,31.54,21.99,22.81,23.22,18.33,1.04,20.45,24.16,5.09,0,1,0,1,1,1,4,0
1108,幸福,1.71,0.21,8.77,-2.23,-4.66,1.07,8.74,5.64,3.74,1.4,8.01,15.82,14.86,38.81,42.04,41.04,41.99,42.23,-3,-6.05,1.23,8.66,6.96,0.58,10.25,3.95,5.66,0,1,0,1,1,0,3,0
1109,信大,14.89,2.4,30.69,10.82,17.31,17.87,15.95,12.51,23.36,32.59,33.29,34.37,29.86,20.77,24.4,22.89,19.22,15.8,13.21,18.71,18.65,19.08,16.44,1,15.2,36.22,6.58,1,1,1,1,1,1,6,1
1110,東泥,0.72,0.12,4.56,0.68,0.77,0.39,0.2,1.55,-2.52,8.62,5.19,4.23,7.29,8.39,7.95,12.01,13.35,20.51,3.4,3.91,2.1,1.07,7.25,0.12,17.9,34.67,0.67,0,1,0,0,1,1,3,0
1203,味王,12,1.86,32.54,13.71,12.26,11.86,11.08,11.1,32.61,32.4,31.31,33.82,32.55,38.98,34.85,34.05,32.35,34.76,12.05,11.58,11.35,11.48,11.97,1.1,30.95,28.84,3.55,1,1,1,0,1,1,5,1
1210,大成,12.03,3.05,13.62,12.66,10.98,12.78,15.6,8.13,13.48,13.93,15.08,15.02,10.58,46.69,47.74,48.57,46.05,51.1,3.49,3.33,3.82,4.99,2.23,1.98,44,12.36,4.5,1,1,0,0,1,1,4,0
1213,大飲,-9.02,-0.89,4.96,0.29,-13.76,-7.37,-4.96,-19.31,10.54,9.07,6.2,1.35,-2.34,19.52,55.73,55.5,57.29,60.66,0.31,-15.07,-9.9,-6.65,-22.04,0,7.35,12.91,0,0,0,0,0,1,1,2,-1
