代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,成交價,董監持股,現金殖利率,答案
2385,群光,18.0,6.53,17.1,84.0,10.47,6.13,1
2450,神腦,10.41,2.44,11.92,30.0,33.53,6.37,1
4807,日成-KY,17.13,2.64,25.42,19.5,43.0,12.46,1
9931,欣高,10.25,1.84,17.79,38.5,24.83,2.96,1
2104,國際中橡,7.38,2.46,24.7,19.65,0.0,3.87,1
2331,精英,-0.7,-0.21,10.74,25.2,32.5,9.52,1
1309,台達化,13.65,1.86,9.0,20.65,39.37,4.55,1
3653,健策,9.87,4.57,26.81,418.5,25.89,1.08,1
6672,騰輝電子-KY,39.5,6.59,25.14,62.1,14.13,6.17,1
2379,瑞昱,20.91,10.38,43.51,259.5,6.21,4.97,1
2423,固緯,12.36,1.92,49.59,25.1,8.94,5.98,1
1615,大山,11.81,1.75,12.32,28.3,15.43,4.56,1
2327,國巨,30.19,29.34,39.11,287.0,7.57,6.48,1
2489,瑞軒,2.25,0.36,10.13,10.0,11.73,12.0,1
3005,神基,14.76,3.79,28.05,43.0,34.13,7.21,1
2428,興勤,18.57,8.54,37.92,119.0,21.26,3.97,1
8462,柏文,24.81,6.1,30.62,117.5,36.52,3.45,1
6215,和椿,4.76,0.67,25.88,20.9,20.16,3.73,1
1439,中和,5.79,1.45,2.33,19.35,10.38,6.93,1
4938,和碩,9.56,6.51,3.85,58.2,6.07,7.39,1
2301,光寶科,10.35,3.39,14.48,65.5,6.03,3.85,1
2904,匯僑,12.59,1.78,42.83,18.95,34.17,7.55,1
1701,中化,6.65,1.3,34.29,21.3,17.61,3.85,1
5215,科嘉-KY,11.78,4.74,25.94,49.0,11.71,7.96,1
6112,邁達特,13.07,2.73,9.94,31.7,0.0,6.94,1
2247,汎德永業,11.44,12.99,11.68,206.5,35.06,4.55,1
1736,喬山,7.37,2.12,47.27,76.4,62.94,1.03,1
4927,泰鼎-KY,10.59,3.81,16.36,52.6,1.57,5.04,1
2337,旺宏,16.28,2.51,32.0,32.15,2.76,3.98,1
2421,建準,16.13,2.68,22.1,38.9,7.5,5.09,1
8499,鼎炫-KY,25.43,8.67,47.88,107.0,48.51,5.8,1
2467,志聖,16.57,2.57,32.21,46.5,4.22,5.16,1
2477,美隆電,8.32,1.4,22.76,18.55,24.03,7.22,1
4155,訊映,10.1,1.76,23.28,25.1,9.83,6.06,1
2630,亞航,5.79,0.76,11.68,16.75,70.58,3.22,1
2355,敬鵬,6.03,2.45,11.2,29.0,11.63,3.28,1
6412,群電,20.04,4.13,16.54,68.6,59.47,5.1,1
2702,華園,-0.42,0.04,77.4,23.15,19.47,1.38,1
4763,材料-KY,21.76,6.26,28.13,129.5,56.78,2.84,1
2103,台橡,4.99,0.91,12.1,26.8,14.15,3.88,1
2458,義隆,23.49,5.6,44.93,84.2,0.0,8.76,1
5907,大洋-KY,3.33,1.74,75.86,13.9,56.83,10.14,1
8429,金麗-KY,3.87,1.46,14.67,9.9,24.29,2.83,1
2548,華固,14.41,8.22,29.69,88.8,15.47,7.25,1
2401,凌陽,3.43,0.3,42.12,23.9,17.36,3.26,1
1434,福懋,6.32,2.35,11.79,27.1,0.0,6.27,1
6464,台數科,11.27,6.14,47.85,91.0,6.67,4.76,1
6641,基士德-KY,17.98,5.5,39.3,54.0,13.09,6.43,1
5533,皇鼎,3.2,0.82,25.76,17.1,10.08,4.09,1
2511,太子,4.73,0.73,26.87,10.9,29.97,4.95,1
1514,亞力,7.05,1.03,15.54,27.55,12.64,2.43,1
2891,中信金,11.37,1.9,0.0,20.45,1.46,5.28,1
3450,聯鈞,17.68,4.76,25.76,40.95,8.03,4.98,1
1906,寶隆,9.41,2.81,7.11,17.05,29.54,3.52,1
1210,大成,13.0,3.19,14.12,44.75,12.98,4.42,1
3312,弘憶股,4.63,0.49,5.03,17.3,32.54,3.7,1
8150,南茂,11.09,2.71,19.52,30.9,11.74,6.34,1
3015,全漢,3.42,1.58,11.38,38.2,23.57,5.55,1
2617,台航,4.85,1.17,18.17,26.15,43.43,4.36,1
1614,三洋電,5.12,1.03,20.0,34.8,33.38,2.64,1
2388,威盛,15.3,2.06,29.87,79.7,9.4,0.45,1
4552,力達-KY,14.37,6.64,22.42,28.8,47.94,7.71,1
3231,緯創,9.8,1.99,4.61,26.8,2.8,6.79,1
1304,台聚,8.12,1.23,13.54,20.55,24.42,4.18,1
3501,維熹,10.12,4.88,27.95,46.75,21.25,6.07,1
1308,亞聚,6.86,1.26,12.72,27.9,38.36,3.8,1
6451,訊芯-KY,9.24,5.21,24.49,88.5,59.52,3.07,1
2923,鼎固-KY,5.05,1.56,53.71,0.0,58.5,0.0,1
6235,華孚,17.59,2.11,17.81,34.5,21.71,1.33,1
6477,安集,7.87,1.49,20.13,45.55,16.35,1.69,1
2027,大成鋼,8.17,1.75,17.62,39.2,6.53,3.78,1
2722,夏都,4.3,0.72,45.03,35.05,58.0,0.86,1
3002,歐格,3.14,0.45,29.57,12.4,25.98,2.66,1
3645,達邁,11.03,2.18,32.22,32.9,15.45,3.77,1
6005,群益證,7.57,1.04,0.0,10.4,3.26,7.98,1
2901,欣欣,3.31,0.39,86.68,23.3,57.82,1.24,1
9918,欣天然,8.8,1.45,24.44,42.0,40.79,3.33,1
9929,秋雨,13.25,1.32,9.12,8.59,8.54,0.93,1
2239,英利-KY,10.81,8.13,18.99,72.1,39.02,4.23,1
2536,宏普,6.01,2.11,24.65,22.65,37.18,6.18,1
4566,時碩工業,10.39,2.78,21.91,56.8,35.7,2.96,1
3026,禾伸堂,12.17,7.52,21.95,87.5,8.9,8.75,1
5515,建國,4.17,0.65,8.97,11.45,27.02,5.85,1
2348,海悅,28.03,5.87,49.06,69.5,14.85,5.54,1
6202,盛群,23.06,4.18,48.21,66.8,7.49,7.65,1
4904,遠傳,13.69,2.99,35.22,68.3,32.94,5.05,1
2373,震旦行,18.99,6.0,43.44,80.6,52.63,7.44,1
1109,信大,12.95,1.98,27.76,15.65,36.26,6.39,1
6201,亞弘電,10.78,2.94,20.36,0.0,15.9,0.0,1
4919,新唐,14.66,2.81,39.48,113.0,52.5,2.12,1
6666,羅麗芬-KY,60.13,6.69,61.64,69.1,43.86,5.07,1
2316,楠梓電,3.58,1.23,6.97,24.6,19.61,6.91,1
2449,京元電子,10.89,2.27,27.92,31.5,0.0,6.32,1
5607,遠雄港,8.28,1.8,52.49,58.9,17.78,1.49,1
6189,豐藝,13.38,2.6,8.2,36.65,10.31,7.12,1
3036,文曄,11.81,4.69,3.88,61.7,23.2,4.91,1
6592,和潤企業,14.65,4.62,59.39,102.0,68.36,3.24,1
1527,鑽全,17.55,4.59,28.79,40.5,14.44,5.6,1
1316,上曜,3.35,0.6,23.1,13.5,9.14,6.15,1
6674,鋐寶科技,7.84,2.18,12.69,24.75,47.73,5.66,1
2539,櫻花建,15.65,2.25,31.07,32.05,19.83,1.93,1
2492,華新科,27.98,15.45,35.19,78.4,21.02,9.27,1
1323,永裕,15.73,3.11,24.61,33.05,13.1,4.78,1
3044,健鼎,15.55,9.53,19.14,93.3,4.92,7.02,1
9945,潤泰新,19.79,7.05,23.39,53.6,27.81,2.99,1
2392,正崴,3.82,2.7,10.08,37.25,20.25,5.37,1
8215,明基材,5.34,0.68,14.14,29.15,40.25,2.88,1
4916,事欣科,4.69,1.67,21.81,22.9,16.81,5.63,1
6024,群益期,15.05,4.01,0.0,34.8,56.58,7.27,1
3528,安馳,12.73,2.77,12.75,49.95,59.73,5.61,1
1776,展宇,5.66,0.8,17.96,17.75,8.75,6.37,1
1436,華友聯,8.32,2.51,26.45,55.9,0.0,4.7,1
4119,旭富,12.59,5.02,39.53,91.3,32.31,3.69,1
9934,成霖,5.17,0.82,28.14,11.55,6.52,8.48,1
8463,潤泰材,5.63,0.89,12.47,19.65,46.72,3.61,1
9940,信義,15.15,2.32,29.68,29.25,32.56,6.5,1
9938,百和,15.89,5.07,37.63,57.6,7.42,5.24,1
1103,嘉泥,4.67,1.46,6.77,17.05,17.15,5.34,1
2545,皇翔,8.99,2.93,34.6,40.75,45.04,7.51,1
