代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,股價,董監持股,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,股價_Test,董監持股_Test,符合數量,正負樣本
1101,台泥,11,3.69,26.64,5.87,39.85,8.38,1,1,1,1,1,0,5,1
1102,亞泥,9.81,4.05,24.67,6.29,44.05,27.37,0,1,1,1,1,1,5,1
1103,嘉泥,5.24,1.65,6.44,5.1,17.85,17.15,0,1,0,1,1,1,4,0
1104,環泥,6.66,1.82,14.24,4.79,21.7,24.16,0,1,0,0,1,1,3,0
1108,幸福,1.71,0.21,8.77,5.47,10.6,3.95,0,1,0,1,1,0,3,0
1109,信大,14.89,2.4,30.69,5.75,17.4,36.22,1,1,1,1,1,1,6,1
1110,東泥,0.72,0.12,4.56,0.65,18.35,34.67,0,1,0,0,1,1,3,0
1203,味王,12,1.86,32.54,3.41,32.3,28.84,1,1,1,0,1,1,5,1
1210,大成,12.03,3.05,13.62,4.11,48.2,12.98,1,1,0,0,1,1,4,0
1213,大飲,-9.02,-0.89,4.96,0,7.58,12.91,0,0,0,0,1,1,2,-1
1215,卜蜂,18.56,5.12,14.81,4.37,80.1,10,1,1,0,0,0,0,2,-1
1216,統一,19.92,4.14,33.73,4.75,66.9,10.05,1,1,1,0,1,1,5,1
1217,愛之味,2.25,0.27,31.77,0.62,9.67,10.24,0,1,1,0,1,1,4,0
1218,泰山,9.53,1.22,17.74,2.52,35.7,35.9,0,1,0,0,1,1,3,0
1219,福壽,4.47,0.79,8.7,2.79,20.8,6.9,0,1,0,0,1,0,2,-1
1220,台榮,5.92,0.74,13.71,4.44,15.55,21.34,0,1,0,0,1,1,3,0
1225,福懋油,10.42,1.53,9.28,2.57,52.2,22.67,1,1,0,0,1,1,4,0
1227,佳格,17.48,3.13,28.16,5.65,40.9,3.2,1,1,1,1,1,0,5,1
1229,聯華,10.09,2.66,20.74,3.05,55.7,24.8,1,1,1,0,1,1,5,1
1231,聯華食,16.23,3.31,21.73,2.16,73.1,21.78,1,1,1,0,1,1,5,1
1232,大統益,25.42,6.54,11.65,3.45,156.5,66.07,1,1,0,0,0,1,3,0
1233,天仁,7.91,1.34,57.08,4.39,33.45,11.07,0,1,1,0,1,1,4,0
1234,黑松,4.23,1.88,26.54,4.96,33.5,12.06,0,1,1,0,1,1,4,0
1235,興泰,3.44,1.69,37.44,1.06,57.8,11.62,0,1,1,0,1,1,4,0
1236,宏亞,0.09,0.01,26.96,1.27,25.2,24.47,0,1,1,0,1,1,4,0
1301,台塑,13.01,7.15,18.26,6,88.3,14.93,1,1,0,1,0,1,4,0
1303,南亞,12.88,5.98,16.11,6.61,67.2,18.26,1,1,0,1,1,1,5,1
1304,台聚,10.47,1.97,15.9,3.76,22.85,24.42,1,1,0,0,1,1,4,0
1305,華夏,16.66,2.7,19.82,6.72,23.2,33.13,1,1,0,1,1,1,5,1
1307,三芳,4.7,0.99,22.5,3.7,21.65,9.47,0,1,1,0,1,0,3,0
1308,亞聚,9.89,2.04,17.6,3.86,27.45,38.36,0,1,0,0,1,1,3,0
1309,台達化,18.21,2.76,11.11,4.24,22.15,37.49,1,1,0,0,1,1,4,0
