代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金股利,成交價,董監持股,現金殖利率,ROE_5YF,EPS_5YF,毛利率_5YF,現金殖利率_F,股價_F,董監持股_F,Sum,判斷
1101,台泥,10.26,3.37,25.68,2.34,34.25,8.38,6.83,1,1,1,1,1,0,5,1
1102,亞泥,8.44,3.36,22.76,2.77,40.0,27.37,6.93,1,1,1,1,1,1,6,1
1103,嘉泥,4.67,1.46,6.77,0.91,17.05,17.15,5.34,0,1,0,1,1,1,4,1
1104,環泥,7.57,2.02,13.3,1.04,20.45,24.16,5.09,1,1,0,1,1,1,5,1
1108,幸福,1.89,0.23,8.91,0.58,10.35,3.95,5.6,0,1,0,1,1,0,3,0
1109,信大,12.95,1.98,27.76,1.0,15.65,36.26,6.39,1,1,1,1,1,1,6,1
1110,東泥,0.89,0.1,3.24,0.12,17.65,34.67,0.68,0,1,0,0,1,1,3,0
1203,味王,12.19,1.84,31.49,1.1,31.8,28.84,3.46,1,1,1,0,1,1,5,1
1210,大成,13.0,3.19,14.12,1.98,44.75,12.98,4.42,1,1,0,0,1,1,4,1
1213,大飲,-4.72,-0.5,7.92,0.0,7.3,12.91,0.0,0,0,0,0,1,1,2,0
1215,卜蜂,19.9,5.05,15.18,3.5,78.6,10.0,4.45,1,1,0,0,1,1,4,1
1216,統一,19.81,3.96,33.79,3.18,65.7,10.05,4.84,1,1,1,0,1,1,5,1
1217,愛之味,2.02,0.23,31.9,0.06,9.4,10.24,0.64,0,1,1,0,1,1,4,1
1218,泰山,8.55,1.04,18.17,0.9,34.85,35.9,2.58,1,1,0,0,1,1,4,1
1219,福壽,3.5,0.69,8.64,0.58,19.45,6.9,2.98,0,1,0,0,1,0,2,0
1220,台榮,5.9,0.73,13.58,0.69,14.4,21.73,4.79,1,1,0,0,1,1,4,1
1225,福懋油,10.58,1.47,9.72,1.34,0.0,22.84,0.0,1,1,0,0,1,1,4,1
1227,佳格,18.51,3.18,29.28,2.31,38.4,3.2,6.02,1,1,1,1,1,0,5,1
1229,聯華,10.23,2.55,20.85,1.7,49.85,23.62,3.41,1,1,1,0,1,1,5,1
1231,聯華食,15.7,3.12,21.38,1.58,70.1,21.79,2.25,1,1,1,0,1,1,5,1
1233,天仁,9.69,1.62,57.2,1.47,33.2,11.07,4.43,1,1,1,0,1,1,5,1
1234,黑松,4.6,2.03,26.28,1.66,33.3,12.06,4.98,0,1,1,0,1,1,4,1
1235,興泰,5.08,2.29,37.2,0.61,62.6,11.62,0.97,1,1,1,0,1,1,5,1
1236,宏亞,1.18,0.2,27.23,0.32,21.6,24.47,1.48,0,1,1,0,1,1,4,1
1256,鮮活果汁-KY,27.37,14.38,35.85,8.48,230.0,0.0,3.69,1,1,1,0,0,0,3,0
1301,台塑,11.75,6.15,15.39,5.3,85.1,14.93,6.23,1,1,0,1,0,1,4,1
1303,南亞,11.39,5.17,13.36,4.44,67.0,18.26,6.63,1,1,0,1,1,1,5,1
1304,台聚,8.12,1.23,13.54,0.86,20.55,24.42,4.18,1,1,0,0,1,1,4,1
1305,華夏,16.15,2.46,18.99,1.56,20.65,33.13,7.55,1,1,0,1,1,1,5,1
1307,三芳,7.26,1.56,24.88,0.8,21.1,9.47,3.79,1,1,1,0,1,0,4,1
1308,亞聚,6.86,1.26,12.72,1.06,27.9,38.36,3.8,1,1,0,0,1,1,4,1
1309,台達化,13.65,1.86,9.0,0.94,20.65,39.37,4.55,1,1,0,0,1,1,4,1
1310,台苯,12.62,1.84,11.04,1.05,13.1,4.54,8.02,1,1,0,1,1,0,4,1
1312,國喬,12.88,3.27,16.29,0.98,18.0,5.38,5.44,1,1,0,1,1,0,4,1
1313,聯成,6.03,1.02,6.4,0.68,12.65,0.0,5.38,1,1,0,1,1,0,4,1
1314,中石化,3.46,0.83,6.98,0.69,9.63,6.91,7.17,0,1,0,1,1,0,3,0
1315,達新,14.2,7.86,17.05,3.0,67.7,17.13,4.43,1,1,0,0,1,1,4,1
1316,上曜,3.35,0.6,23.1,0.83,13.5,9.14,6.15,0,1,1,1,1,0,4,1
1319,東陽,8.94,3.21,23.44,1.44,47.95,18.4,3.0,1,1,1,0,1,1,5,1
1321,大洋,2.15,0.6,6.94,0.34,34.75,5.89,0.98,0,1,0,0,1,0,2,0
1323,永裕,15.73,3.11,24.61,1.58,33.05,13.1,4.78,1,1,1,0,1,1,5,1
1324,地球,2.92,0.39,17.36,0.28,10.55,8.06,2.65,0,1,0,0,1,0,2,0
1325,恆大,17.1,5.19,24.54,3.03,23.0,28.62,13.17,1,1,1,1,1,1,6,1
1326,台化,11.06,6.68,12.94,4.86,68.1,5.72,7.14,1,1,0,1,1,0,4,1
1337,再生-KY,-8.9,-2.42,-17.09,0.23,7.9,14.46,2.91,0,0,0,0,1,1,2,0
1338,廣華-KY,7.65,6.44,25.32,3.6,54.5,17.29,6.61,1,1,1,1,1,1,6,1
1339,昭輝,7.94,3.73,29.19,2.0,39.6,42.78,5.05,1,1,1,1,1,1,6,1
1340,勝悅-KY,3.32,1.97,5.47,0.94,10.1,0.0,9.31,0,1,0,1,1,0,3,0
1341,富林-KY,31.74,7.1,21.99,4.0,65.8,1.64,6.08,1,1,1,1,1,0,5,1
1402,遠東新,5.7,1.81,20.67,1.47,32.1,27.07,4.58,1,1,1,0,1,1,5,1
1409,新纖,5.82,1.1,0.0,0.88,16.8,5.84,5.24,1,1,0,1,1,0,4,1
1410,南染,7.65,1.25,37.48,1.18,41.85,17.35,2.82,1,1,1,0,1,1,5,1
1413,宏洲,4.3,0.31,2.86,0.0,10.55,43.25,0.0,0,1,0,0,1,1,3,0
1414,東和,1.42,0.2,6.08,0.3,17.35,0.0,1.73,0,1,0,0,1,0,2,0
1416,廣豐,4.16,0.92,-61.48,1.28,10.5,8.17,12.19,0,1,0,1,1,0,3,0
1417,嘉裕,-5.21,-0.59,19.19,0.37,10.3,11.6,3.59,0,0,0,0,1,1,2,0
1418,東華,-65.59,-4.21,-53.89,0.0,14.05,54.77,0.0,0,0,0,0,1,1,2,0
1419,新紡,5.61,1.62,25.02,1.52,38.6,0.0,3.94,1,1,1,0,1,0,4,1
1423,利華,3.55,0.65,-12.11,0.89,19.45,25.88,4.58,0,1,0,0,1,1,3,0
1432,大魯閣,-13.61,-1.17,83.05,0.8,12.35,11.03,6.48,0,0,1,1,1,1,4,1
1434,福懋,6.32,2.35,11.79,1.7,27.1,0.0,6.27,1,1,0,1,1,0,4,1
1435,中福,-0.42,-0.03,93.09,0.0,0.0,0.0,0.0,0,0,1,0,1,0,2,0
1436,華友聯,8.32,2.51,26.45,2.63,55.9,0.0,4.7,1,1,1,0,1,0,4,1
1437,勤益控,7.87,2.22,68.98,0.74,24.55,0.0,3.01,1,1,1,0,1,0,4,1
1438,三地開發,0.39,0.02,-112.02,0.0,31.9,0.0,0.0,0,1,0,0,1,0,2,0
1439,中和,5.79,1.45,2.33,1.34,19.35,10.38,6.93,1,1,0,1,1,1,5,1
1440,南紡,2.63,0.42,9.84,0.42,16.65,15.82,2.52,0,1,0,0,1,1,3,0
1441,大東,-8.03,-0.01,-2.72,0.24,7.93,37.16,3.03,0,0,0,0,1,1,2,0
1442,名軒,5.33,1.01,20.45,1.1,28.45,4.23,3.87,1,1,1,0,1,0,4,1
1443,立益,-38.29,-1.16,13.44,0.0,19.9,18.36,0.0,0,0,0,0,1,1,2,0
1444,力麗,-0.2,0.04,6.57,0.44,10.55,19.56,4.17,0,1,0,0,1,1,3,0
1445,大宇,-0.66,-0.07,5.64,0.22,16.3,27.82,1.35,0,0,0,0,1,1,2,0
1446,宏和,-0.18,-0.02,19.13,0.3,31.8,9.41,0.94,0,0,0,0,1,0,1,0
1447,力鵬,-1.41,-0.18,3.24,0.04,8.43,22.04,0.47,0,0,0,0,1,1,2,0
1449,佳和,-11.84,-0.82,6.34,0.0,13.35,6.82,0.0,0,0,0,0,1,0,1,0
1451,年興,1.84,0.46,7.43,1.32,23.3,18.57,5.67,0,1,0,1,1,1,4,1
1452,宏益,7.16,1.33,14.89,1.34,17.3,0.0,7.75,1,1,0,1,1,0,4,1
1453,大將,4.59,0.6,-16.97,0.0,16.3,17.85,0.0,0,1,0,0,1,1,3,0
1454,台富,1.08,0.13,8.07,0.27,12.3,8.24,2.2,0,1,0,0,1,0,2,0
1455,集盛,0.8,0.1,2.96,0.4,9.78,22.06,4.09,0,1,0,0,1,1,3,0
1456,怡華,3.25,0.41,17.63,0.3,16.15,47.63,1.86,0,1,0,0,1,1,3,0
1457,宜進,7.33,1.76,10.15,0.7,18.05,0.0,3.88,1,1,0,0,1,0,3,0
1459,聯發,-5.95,-0.62,-0.21,0.28,8.52,14.96,3.29,0,0,0,0,1,1,2,0
1460,宏遠,-1.74,-0.1,16.6,0.38,7.92,0.0,4.8,0,0,0,0,1,0,1,0
1463,強盛,15.48,2.02,33.5,1.14,13.95,13.58,8.17,1,1,1,1,1,1,6,1
1464,得力,5.86,0.87,17.38,1.15,14.6,8.68,7.88,1,1,0,1,1,0,4,1
1465,偉全,10.16,0.76,11.09,0.56,13.35,16.74,4.19,1,1,0,0,1,1,4,1
1466,聚隆,-3.12,-0.48,6.58,0.79,11.25,20.06,7.02,0,0,0,1,1,1,3,0
1467,南緯,-2.46,-0.12,19.59,0.4,11.65,46.04,3.43,0,0,0,0,1,1,2,0
1468,昶和,-0.26,-0.01,12.89,0.0,12.3,0.0,0.0,0,0,0,0,1,0,1,0
1470,大統新創,5.21,0.58,22.1,0.58,19.25,21.54,3.01,1,1,1,0,1,1,5,1
1471,首利,-14.63,-1.22,-2.71,0.0,7.54,13.19,0.0,0,0,0,0,1,1,2,0
1472,三洋實業,-23.21,-1.84,3.85,0.0,22.0,12.17,0.0,0,0,0,0,1,1,2,0
1473,台南,-0.15,0.16,13.38,0.36,19.35,21.29,1.86,0,1,0,0,1,1,3,0
1474,弘裕,5.01,0.78,12.44,0.48,11.85,13.55,4.05,1,1,0,0,1,1,4,1
1475,業旺,-27.24,-3.86,-24.06,0.0,54.6,0.0,0.0,0,0,0,0,1,0,1,0
1476,儒鴻,24.44,14.39,28.44,10.9,404.0,16.19,2.7,1,1,1,0,0,1,4,1
1477,聚陽,18.53,7.76,20.4,7.12,197.5,9.86,3.61,1,1,1,0,0,0,3,0
1503,士電,6.44,2.76,18.94,1.56,56.2,26.69,2.78,1,1,0,0,1,1,4,1
1504,東元,6.3,1.67,24.35,1.05,27.95,8.06,3.76,1,1,1,0,1,0,4,1
1506,正道,-17.1,-1.12,9.8,0.0,16.4,32.81,0.0,0,0,0,0,1,1,2,0
1512,瑞利,-49.47,-1.48,6.12,0.2,3.3,20.81,6.06,0,0,0,1,1,1,3,0
1513,中興電,9.14,1.78,16.94,1.64,57.1,9.97,2.87,1,1,0,0,1,0,3,0
1514,亞力,7.05,1.03,15.54,0.67,27.55,12.64,2.43,1,1,0,0,1,1,4,1
1515,力山,19.35,3.16,20.79,2.56,29.65,11.91,8.63,1,1,1,1,1,1,6,1
