代碼,股票,ROE(近五年),EPS(進五年),毛利率(進五年),現金股利,成交價,董監持股,現金殖利率,符合數量,正負樣本,,,,,,,,,,,,,,,,,,,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test
1101,台泥,11,3.69,26.64,2.34,33.65,8.38,6.95,5,1,,,1103,嘉泥,5.24,1.65,6.44,0.91,16.7,17.15,5.45,4,1,,,,,,1,1,1,1,1,0
1102,亞泥,9.81,4.05,24.67,2.77,39,27.37,7.1,5,1,,,1104,環泥,6.66,1.82,14.24,1.04,20.45,24.16,5.09,4,1,,,,,,0,1,1,1,1,1
1215,卜蜂,18.56,5.12,14.81,3.5,79,10,4.43,4,1,,,1109,信大,14.89,2.4,30.69,1,15.2,36.22,6.58,6,1,,,,,,0,1,0,1,1,1
1217,愛之味,2.25,0.27,31.77,0.06,9.25,10.24,0.65,4,1,,,1203,味王,12,1.86,32.54,1.1,30.95,28.84,3.55,5,1,,,,,,,,,,,
1526,日馳,16.22,2.82,25.68,1.44,48.7,28,2.96,5,1,,,1210,大成,12.03,3.05,13.62,1.98,44,12.36,4.5,4,1,,,,,,,,,,,
1527,鑽全,14.53,3.88,26.9,2.27,40.25,14.44,5.64,6,1,,,1215,卜蜂,18.56,5.12,14.81,3.5,79,10,4.43,4,1,,,,,,,,,,,
3002,歐格,2.31,0.33,26.51,0.33,11.8,25.98,2.8,4,1,,,1216,統一,19.92,4.14,33.73,3.18,66.4,10.05,4.79,5,1,,,,,,,,,,,
5469,瀚宇博,9.54,4.94,17.39,1.57,28.9,26.1,5.43,4,1,,,1213,大飲,-9.02,-0.89,4.96,0,7.35,12.91,0,2,-1,,,,,,,,,,,
6166,凌華,6.24,1.32,37.99,1.14,51,31.18,2.24,4,1,,,1218,泰山,9.53,1.22,17.74,0.9,34.2,35.9,2.63,3,-1,,,,,,,,,,,
6168,宏齊,6.95,0.97,21.75,1.12,16.1,21.94,6.96,5,1,,,1219,福壽,4.47,0.79,8.7,0.58,19.35,6.9,3,2,-1,,,,,,0,1,0,1,1,1
1108,幸福,1.71,0.21,8.77,0.58,10.25,3.95,5.66,3,-1,,,1220,台榮,5.92,0.74,13.71,0.69,14.2,21.73,4.86,3,-1,,,,,,0,1,0,1,1,0
1110,東泥,0.72,0.12,4.56,0.12,17.9,34.67,0.67,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
2330,台積電,25.2,16.61,49.94,2.75,417,6.56,0.66,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
2642,宅配通,8.5,1.67,16.43,1.35,45.8,45.9,2.95,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
3311,閎暉,-3.42,-1.21,13.3,1.35,32.6,47.2,4.14,2,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
3312,弘憶股,9.12,1.04,4.92,0.64,16.95,32.54,3.78,3,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8442,威宏-KY,2.74,0.79,15.4,1.6,70.2,30.91,2.28,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1225,福懋油,10.42,1.53,9.28,1.34,51.7,22.84,2.59,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
1227,佳格,17.48,3.13,28.16,2.31,38.2,3.2,6.05,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
1229,聯華,10.09,2.66,20.74,1.7,49.65,23.62,3.42,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
1231,聯華食,16.23,3.31,21.73,1.58,69.4,21.79,2.28,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
1232,大統益,25.42,6.54,11.65,5.4,153,65.95,3.53,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
1233,天仁,7.91,1.34,57.08,1.47,33,11.07,4.45,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1234,黑松,4.23,1.88,26.54,1.66,33.25,12.06,4.99,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1235,興泰,3.44,1.69,37.44,0.61,63.4,9.08,0.96,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1236,宏亞,0.09,0.01,26.96,0.32,20.7,24.47,1.55,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1256,鮮活果汁-KY,26.53,16.9,37.24,8.48,226.5,0,3.74,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
1301,台塑,13.01,7.15,18.26,5.3,86.5,14.93,6.13,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1
1303,南亞,12.88,5.98,16.11,4.44,67.7,18.26,6.56,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1304,台聚,10.47,1.97,15.9,0.86,20.4,24.42,4.22,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
1305,華夏,16.66,2.7,19.82,1.56,20.4,33.13,7.65,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1307,三芳,4.7,0.99,22.5,0.8,20.95,9.47,3.82,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1308,亞聚,9.89,2.04,17.6,1.06,28.05,38.36,3.78,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1309,台達化,18.21,2.76,11.11,0.94,21.25,39.37,4.42,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
1310,台苯,9.14,1.34,8.12,1.05,13.15,4.54,7.98,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1312,國喬,13.74,4.03,16.97,0.98,17.55,5.38,5.58,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
1313,聯成,6.4,1.16,6.24,0.68,12.35,0,5.51,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1314,中石化,5.13,1.21,9.95,0.69,9.54,6.91,7.23,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1315,達新,13.36,7.55,16.17,3,67,17.13,4.48,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
1316,上曜,4.27,0.66,23.2,0.83,12.45,9.14,6.67,4,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0
1319,東陽,6.99,2.63,22.19,1.44,48.45,18.4,2.97,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1321,大洋,3.18,0.9,6.71,0.34,34.5,5.89,0.99,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1323,永裕,14.85,3.1,24.13,1.58,33,13.1,4.79,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
1324,地球,1.63,0.22,15.98,0.28,10.6,8.06,2.64,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1325,恆大,17.53,5.61,27.85,3.03,23,28.62,13.17,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
1326,台化,10.36,6.5,12.88,4.86,68.8,5.72,7.06,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
1337,再生-KY,-11.37,-3.06,-24.86,0.23,7.17,14.46,3.21,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1338,廣華-KY,6.78,5.62,24.05,3.6,54,17.29,6.67,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
1339,昭輝,6.77,3.27,28.15,2,40.65,42.78,4.92,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1340,勝悅-KY,-1.69,-0.24,-13,0.94,9.93,0,9.47,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0
1341,富林-KY,25.92,5.71,20.87,4,65.8,1.64,6.08,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
1402,遠東新,5.81,1.95,19.83,1.47,32.15,27.07,4.57,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1409,新纖,7.42,1.49,0,0.88,16.55,5.84,5.32,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1410,南染,7.1,1.18,37.42,1.18,40.15,17.35,2.94,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1413,宏洲,7.79,0.56,4.13,0,10.3,43.25,0,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1414,東和,2.34,0.33,9.5,0.3,17.15,0,1.75,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1416,廣豐,0.12,0.07,-61.15,1.28,10.55,8.17,12.13,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1417,嘉裕,-3.62,-0.4,24.97,0.37,10.15,11.6,3.65,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1
1418,東華,-60.82,-4.53,-113.93,0,14.3,54.77,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1419,新紡,6.16,1.82,25.76,1.52,38.5,0,3.95,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1423,利華,4.52,0.86,-16.51,0.89,19.35,25.88,4.6,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1432,大魯閣,-16.24,-1.41,73.41,0.8,12.3,11.03,6.5,4,1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1
1434,福懋,5.8,2.19,11.58,1.7,26.95,0,6.31,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1435,中福,-0.16,-0.01,93.3,0,0,0,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0
1436,華友聯,11.33,3.41,28.63,2.63,56.2,0,4.68,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0
1437,勤益控,7.49,2.23,69.77,0.74,24.4,0,3.03,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1438,三地開發,1.37,0.15,-95.74,0,32.25,0,0,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1439,中和,6.67,1.68,1.5,1.34,19.3,10.38,6.94,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1440,南紡,4.49,0.7,10.77,0.42,16.35,15.82,2.57,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1441,大東,-5.38,0.31,-1.69,0.24,7.97,24.17,3.01,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1442,名軒,5,0.88,21.33,1.1,28.2,4.23,3.9,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1443,立益,-28.77,-0.56,18.36,0,19.95,18.36,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1444,力麗,0.79,0.16,7.52,0.44,10.45,19.56,4.21,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1445,大宇,-1.62,-0.2,4.54,0.22,16.1,27.82,1.37,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1446,宏和,-1.13,-0.13,19.03,0.3,31.95,9.41,0.94,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
1447,力鵬,-0.77,-0.1,3.26,0.04,8.37,22.04,0.48,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1449,佳和,-7.07,-0.34,7.13,0,14.35,6.82,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
1451,年興,1.03,0.34,6.65,1.32,22.55,18.57,5.85,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1452,宏益,8.16,1.56,15.33,1.34,17.35,0,7.72,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1453,大將,6.38,0.84,-3.3,0,15.7,17.85,0,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1454,台富,0.51,0.06,7.41,0.27,12.25,8.24,2.2,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1455,集盛,2.9,0.38,4.09,0.4,9.43,22.06,4.24,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1456,怡華,8.39,1.28,19.49,0.3,16.15,47.63,1.86,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1457,宜進,8.16,1.89,11.57,0.7,17.75,0,3.94,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1459,聯發,1.33,0.06,-0.07,0.28,8.57,14.96,3.27,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1460,宏遠,-3.22,-0.26,16.04,0.38,7.86,0,4.83,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
1463,強盛,9.71,1.33,28.09,1.14,13.9,13.58,8.2,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
1464,得力,4.66,0.67,16.69,1.15,14.4,8.68,7.99,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
1465,偉全,7.99,0.43,9.22,0.56,13.15,16.74,4.26,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1466,聚隆,0.14,0.02,9.06,0.79,11.2,20.06,7.05,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1467,南緯,-1.46,-0.16,20.02,0.4,11.55,46.04,3.46,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1
1468,昶和,0.76,0.06,10.45,0,12,0,0,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
1470,大統新創,5.55,0.62,21.86,0.58,18.2,21.54,3.19,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1471,首利,-11.2,-0.86,-1.29,0,7.53,13.19,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1472,三洋實業,-29.36,-2.26,7.4,0,22,12.17,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1473,台南,-1.86,-0.33,12.8,0.36,19.25,21.29,1.87,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1474,弘裕,5.07,0.81,12.63,0.48,11.85,13.55,4.05,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1475,業旺,-14.64,-2.74,-16.81,0,50.7,0,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
1476,儒鴻,24.1,15.41,28.06,10.9,390,16.19,2.79,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
1477,聚陽,19.55,8.52,20.83,7.12,183,9.86,3.89,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
1503,士電,6.69,2.97,18.56,1.56,57,26.69,2.74,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1504,東元,6.14,1.8,23.94,1.05,27.85,8.06,3.77,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1506,正道,-16.45,-1.1,8.88,0,16.9,32.81,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1512,瑞利,-71.55,-1.47,3.53,0.2,3.53,20.81,5.67,3,-1,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1
1513,中興電,11.32,2.37,18.75,1.64,56.2,9.97,2.92,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
1514,亞力,8.45,1.24,16.51,0.67,27.6,12.64,2.43,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1515,力山,23.75,4.2,18.65,2.56,29,11.91,8.83,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1516,川飛,6.87,0.8,3.94,0.4,22.15,13.82,1.81,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1517,利奇,4.34,0.61,13.63,0.36,22,10.6,1.64,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1519,華城,7.77,1,14.05,0.8,40.05,19.04,2,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1521,大億,15.18,3.73,15.33,2.98,34.8,32.55,8.56,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1522,堤維西,7.37,1.56,21.12,1.08,26.15,8.34,4.13,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1524,耿鼎,5.5,0.69,18.78,0.37,24.95,25.14,1.48,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1525,江申,9.52,5.21,9.16,2.1,58,76.83,3.62,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1526,日馳,16.22,2.82,25.68,1.44,48.7,28,2.96,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
1527,鑽全,14.53,3.88,26.9,2.27,40.25,14.44,5.64,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
1528,恩德,-0.13,-0.02,26.65,0.2,9.54,10.03,2.1,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1
1529,樂士,7.89,0.61,20.35,0.28,21.9,20.78,1.28,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1530,亞崴,8.65,2.36,18.49,1.75,29.6,59.09,5.91,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1531,高林股,2.28,0.47,18.67,0.48,13.75,23.56,3.49,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1532,勤美,8.01,2.47,25.18,1.65,29.95,19.99,5.51,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
1533,車王電,3.66,1.53,32.38,0.42,52.2,33.32,0.8,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1535,中宇,6.63,1.64,6.39,1.5,42.05,60.46,3.57,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1536,和大,11.84,2.91,28.19,2.34,90.6,12.09,2.58,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
1537,廣隆,22.77,10.74,22.37,9.3,137,16.88,6.79,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
1538,正峰,-52.11,-2.39,13.51,0,7.16,0,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
1539,巨庭,8.88,1.68,10.71,1.12,31.65,14.95,3.54,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1540,喬福,3.83,0.64,22.37,0.78,15.2,20.89,5.13,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
1541,錩泰,17.38,3.1,16.15,2.26,31.85,31.97,7.1,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1558,伸興,14.84,11.51,24.88,9.26,121,10.46,7.65,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
1560,中砂,14.61,4.47,30.69,3.08,122,14.89,2.52,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
1568,倉佑,4.54,0.69,12.8,0.51,23.55,18.91,2.17,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1582,信錦,13.49,5.75,22.93,5.26,62.9,12.79,8.36,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
1583,程泰,8.99,3.79,22.87,2.8,61.4,42.17,4.56,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1587,吉茂,5.4,1.01,22.96,0.71,22.75,28.48,3.12,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1589,永冠-KY,2.05,1.62,18.96,1.48,61.1,11.11,2.42,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1590,亞德客-KY,20.7,21.36,49,7.88,721,4.05,1.09,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
1597,直得,15.27,3.78,43.35,1.2,70.4,12.82,1.7,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
1598,岱宇,11.06,3.36,32.34,2.39,39.75,8.8,6.01,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
1603,華電,4.83,1.58,13.01,0.6,25.65,12.55,2.34,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1604,聲寶,14.42,2.71,18.22,1.66,26.15,5.5,6.35,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
1605,華新,10.88,2.55,9.24,1.04,38.7,0,2.69,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
1608,華榮,6.86,1.1,5.16,0.86,12.55,33.58,6.85,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1609,大亞,10.01,1.25,8.46,0.33,18.1,5.22,1.82,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
1611,中電,7.58,0.95,24.64,0.65,15.15,6.14,4.29,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
1612,宏泰,12.62,2.37,9.3,1.06,14.8,12.41,7.16,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
1614,三洋電,5.27,1.07,20.08,0.92,34.85,33.38,2.64,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1615,大山,14.56,2.24,13.05,1.29,27.3,15.43,4.73,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
1616,億泰,-0.69,-0.06,5.43,0,7.66,10.44,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
1617,榮星,8.87,1.08,13.25,0.66,14.95,46.17,4.41,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1618,合機,2.86,0.53,8.77,0.34,14.05,35.37,2.42,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1626,艾美特-KY,0.68,0.19,16.38,1.01,17.55,26.18,5.75,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
1701,中化,6.94,1.44,35.65,0.82,21.2,17.61,3.87,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1702,南僑,15.7,4.03,33.25,2.32,44.05,17.62,5.27,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
1707,葡萄王,26.61,9.48,81.57,6.44,133.5,20.07,4.82,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
1708,東鹼,6.85,1.79,26.22,1.04,41.9,11.89,2.48,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
1709,和益,7.17,1.14,16.75,1.08,22.55,18.65,4.79,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
1710,東聯,4.84,0.77,8.14,0.94,17.25,10.44,5.45,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
